Vardas	       Pavarde	      Galutinis pazymys pagal mediana
Vardas2        Pavarde2       6.4                           
Vardas4        Pavarde4       5.8                           
Vardas5        Pavarde5       7.2                           
Vardas7        Pavarde7       6.6                           
Vardas8        Pavarde8       7                             
Vardas9        Pavarde9       5.4                           
Vardas10       Pavarde10      5.4                           
Vardas11       Pavarde11      8.4                           
Vardas13       Pavarde13      8                             
Vardas14       Pavarde14      5.6                           
Vardas15       Pavarde15      5.8                           
Vardas17       Pavarde17      5.8                           
Vardas20       Pavarde20      7                             
Vardas22       Pavarde22      5.8                           
Vardas23       Pavarde23      6                             
Vardas27       Pavarde27      6.6                           
Vardas30       Pavarde30      6.6                           
Vardas32       Pavarde32      6.6                           
Vardas34       Pavarde34      7.2                           
Vardas35       Pavarde35      8.4                           
Vardas36       Pavarde36      7.2                           
Vardas37       Pavarde37      6                             
Vardas38       Pavarde38      7.8                           
Vardas40       Pavarde40      8.4                           
Vardas43       Pavarde43      8.4                           
Vardas47       Pavarde47      7.2                           
Vardas48       Pavarde48      8.4                           
Vardas49       Pavarde49      8.4                           
Vardas50       Pavarde50      6                             
Vardas52       Pavarde52      7.2                           
Vardas53       Pavarde53      7.2                           
Vardas54       Pavarde54      8.4                           
Vardas56       Pavarde56      7.8                           
Vardas57       Pavarde57      6                             
Vardas58       Pavarde58      6.6                           
Vardas59       Pavarde59      6                             
Vardas62       Pavarde62      6.6                           
Vardas63       Pavarde63      7.2                           
Vardas64       Pavarde64      7.2                           
Vardas65       Pavarde65      7.8                           
Vardas66       Pavarde66      5.4                           
Vardas67       Pavarde67      5.4                           
Vardas68       Pavarde68      8.4                           
Vardas69       Pavarde69      6.6                           
Vardas71       Pavarde71      8.4                           
Vardas74       Pavarde74      7.8                           
Vardas76       Pavarde76      8.4                           
Vardas77       Pavarde77      6.6                           
Vardas78       Pavarde78      5.4                           
Vardas79       Pavarde79      8.4                           
Vardas80       Pavarde80      7.8                           
Vardas85       Pavarde85      7.8                           
Vardas87       Pavarde87      7.8                           
Vardas88       Pavarde88      8.4                           
Vardas92       Pavarde92      5.4                           
Vardas94       Pavarde94      6                             
Vardas95       Pavarde95      6.6                           
Vardas96       Pavarde96      6.6                           
Vardas97       Pavarde97      8.4                           
Vardas98       Pavarde98      7.8                           
Vardas99       Pavarde99      8.4                           
Vardas100      Pavarde100     6.6                           
Vardas104      Pavarde104     6.6                           
Vardas105      Pavarde105     6                             
Vardas106      Pavarde106     7.2                           
Vardas108      Pavarde108     7.8                           
Vardas109      Pavarde109     8.4                           
Vardas110      Pavarde110     6                             
Vardas112      Pavarde112     8.4                           
Vardas113      Pavarde113     6                             
Vardas115      Pavarde115     7.8                           
Vardas117      Pavarde117     8.4                           
Vardas119      Pavarde119     7.2                           
Vardas120      Pavarde120     5.4                           
Vardas123      Pavarde123     6                             
Vardas124      Pavarde124     8.4                           
Vardas125      Pavarde125     6.6                           
Vardas128      Pavarde128     7.2                           
Vardas129      Pavarde129     7.2                           
Vardas131      Pavarde131     8.4                           
Vardas132      Pavarde132     7.8                           
Vardas133      Pavarde133     6                             
Vardas135      Pavarde135     6.6                           
Vardas137      Pavarde137     8.4                           
Vardas139      Pavarde139     8.4                           
Vardas140      Pavarde140     5.4                           
Vardas141      Pavarde141     5.4                           
Vardas142      Pavarde142     6.6                           
Vardas143      Pavarde143     7.2                           
Vardas149      Pavarde149     7.2                           
Vardas150      Pavarde150     5.4                           
