Vardas	       Pavarde	      Galutinis pazymys pagal mediana
Vardas1        Pavarde1       3.4                           
Vardas3        Pavarde3       4.6                           
Vardas6        Pavarde6       3.6                           
Vardas12       Pavarde12      2.8                           
Vardas16       Pavarde16      4.2                           
Vardas18       Pavarde18      3.8                           
Vardas19       Pavarde19      2.8                           
Vardas21       Pavarde21      3.4                           
Vardas24       Pavarde24      4.2                           
Vardas25       Pavarde25      3.6                           
Vardas26       Pavarde26      3.6                           
Vardas28       Pavarde28      3.6                           
Vardas29       Pavarde29      3.6                           
Vardas31       Pavarde31      4.8                           
Vardas33       Pavarde33      3                             
Vardas39       Pavarde39      3.6                           
Vardas41       Pavarde41      3.6                           
Vardas42       Pavarde42      3.6                           
Vardas44       Pavarde44      3.6                           
Vardas45       Pavarde45      4.2                           
Vardas46       Pavarde46      3.6                           
Vardas51       Pavarde51      3.6                           
Vardas55       Pavarde55      3                             
Vardas60       Pavarde60      3.6                           
Vardas61       Pavarde61      4.2                           
Vardas70       Pavarde70      4.8                           
Vardas72       Pavarde72      3                             
Vardas73       Pavarde73      4.2                           
Vardas75       Pavarde75      3                             
Vardas81       Pavarde81      3.6                           
Vardas82       Pavarde82      3.6                           
Vardas83       Pavarde83      3.6                           
Vardas84       Pavarde84      3.6                           
Vardas86       Pavarde86      4.8                           
Vardas89       Pavarde89      3                             
Vardas90       Pavarde90      4.2                           
Vardas91       Pavarde91      4.8                           
Vardas93       Pavarde93      3                             
Vardas101      Pavarde101     3.6                           
Vardas102      Pavarde102     3                             
Vardas103      Pavarde103     3.6                           
Vardas107      Pavarde107     3                             
Vardas111      Pavarde111     3                             
Vardas114      Pavarde114     4.8                           
Vardas116      Pavarde116     3                             
Vardas118      Pavarde118     4.8                           
Vardas121      Pavarde121     3                             
Vardas122      Pavarde122     3.6                           
Vardas126      Pavarde126     4.2                           
Vardas127      Pavarde127     4.2                           
Vardas130      Pavarde130     4.8                           
Vardas134      Pavarde134     3.6                           
Vardas136      Pavarde136     3.6                           
Vardas138      Pavarde138     3.6                           
Vardas144      Pavarde144     4.2                           
Vardas145      Pavarde145     4.2                           
Vardas146      Pavarde146     3                             
Vardas147      Pavarde147     3.6                           
Vardas148      Pavarde148     4.8                           
Vardas152      Pavarde152     3                             
Vardas155      Pavarde155     3                             
Vardas156      Pavarde156     4.8                           
Vardas158      Pavarde158     4.2                           
Vardas164      Pavarde164     4.8                           
Vardas165      Pavarde165     3.6                           
Vardas169      Pavarde169     4.8                           
Vardas171      Pavarde171     4.2                           
Vardas176      Pavarde176     4.8                           
Vardas177      Pavarde177     3                             
Vardas178      Pavarde178     3                             
Vardas181      Pavarde181     4.8                           
Vardas183      Pavarde183     3.6                           
Vardas184      Pavarde184     4.2                           
Vardas190      Pavarde190     4.2                           
Vardas191      Pavarde191     3.6                           
Vardas192      Pavarde192     4.2                           
Vardas197      Pavarde197     4.2                           
Vardas198      Pavarde198     4.8                           
Vardas199      Pavarde199     4.8                           
Vardas200      Pavarde200     4.2                           
Vardas201      Pavarde201     4.8                           
Vardas203      Pavarde203     4.2                           
Vardas205      Pavarde205     4.8                           
Vardas210      Pavarde210     3.6                           
Vardas212      Pavarde212     4.2                           
Vardas213      Pavarde213     4.2                           
Vardas214      Pavarde214     4.2                           
Vardas222      Pavarde222     3                             
Vardas224      Pavarde224     3.6                           
Vardas227      Pavarde227     4.2                           
Vardas234      Pavarde234     4.2                           
Vardas235      Pavarde235     3.6                           
Vardas239      Pavarde239     3                             
Vardas247      Pavarde247     3.6                           
Vardas251      Pavarde251     3.6                           
Vardas252      Pavarde252     3.6                           
Vardas254      Pavarde254     3                             
Vardas255      Pavarde255     4.2                           
Vardas256      Pavarde256     4.8                           
Vardas260      Pavarde260     4.2                           
Vardas267      Pavarde267     4.2                           
Vardas268      Pavarde268     4.2                           
Vardas269      Pavarde269     4.8                           
Vardas270      Pavarde270     3.6                           
Vardas273      Pavarde273     3.6                           
Vardas275      Pavarde275     4.8                           
Vardas278      Pavarde278     4.8                           
Vardas279      Pavarde279     3.6                           
Vardas280      Pavarde280     4.2                           
Vardas282      Pavarde282     3.6                           
Vardas284      Pavarde284     4.2                           
Vardas285      Pavarde285     3                             
Vardas286      Pavarde286     4.8                           
Vardas287      Pavarde287     3.6                           
Vardas288      Pavarde288     3.6                           
Vardas290      Pavarde290     4.2                           
Vardas298      Pavarde298     4.2                           
Vardas306      Pavarde306     3.6                           
Vardas308      Pavarde308     4.4                           
Vardas309      Pavarde309     3.8                           
Vardas312      Pavarde312     3.8                           
Vardas314      Pavarde314     3.8                           
Vardas315      Pavarde315     2.6                           
Vardas317      Pavarde317     3.8                           
Vardas319      Pavarde319     2.6                           
Vardas322      Pavarde322     4.4                           
Vardas325      Pavarde325     4.4                           
Vardas326      Pavarde326     4.4                           
Vardas327      Pavarde327     3.2                           
Vardas329      Pavarde329     3.2                           
Vardas331      Pavarde331     2.6                           
Vardas336      Pavarde336     2.6                           
Vardas342      Pavarde342     2.6                           
Vardas346      Pavarde346     4.4                           
Vardas355      Pavarde355     2.6                           
Vardas356      Pavarde356     3.8                           
Vardas359      Pavarde359     3.8                           
Vardas361      Pavarde361     3.8                           
Vardas363      Pavarde363     3.8                           
Vardas364      Pavarde364     3.8                           
Vardas367      Pavarde367     2.6                           
Vardas369      Pavarde369     4.4                           
Vardas373      Pavarde373     3.8                           
Vardas375      Pavarde375     3.8                           
Vardas376      Pavarde376     2.6                           
Vardas378      Pavarde378     3.2                           
Vardas381      Pavarde381     2.6                           
Vardas385      Pavarde385     4.4                           
Vardas386      Pavarde386     3.2                           
Vardas387      Pavarde387     2.6                           
Vardas392      Pavarde392     3.2                           
Vardas393      Pavarde393     4.4                           
Vardas396      Pavarde396     3.8                           
Vardas397      Pavarde397     2.6                           
Vardas400      Pavarde400     4.4                           
Vardas404      Pavarde404     3.8                           
Vardas405      Pavarde405     2.6                           
Vardas406      Pavarde406     3.8                           
Vardas410      Pavarde410     2.6                           
Vardas413      Pavarde413     3.8                           
Vardas414      Pavarde414     4.4                           
Vardas418      Pavarde418     2.6                           
Vardas419      Pavarde419     4.4                           
Vardas420      Pavarde420     2.6                           
Vardas422      Pavarde422     3.2                           
Vardas424      Pavarde424     3.8                           
Vardas427      Pavarde427     4.4                           
Vardas431      Pavarde431     4.4                           
Vardas433      Pavarde433     3.8                           
Vardas435      Pavarde435     4.4                           
Vardas436      Pavarde436     3.2                           
Vardas442      Pavarde442     3.2                           
Vardas444      Pavarde444     3.8                           
Vardas446      Pavarde446     4.4                           
Vardas452      Pavarde452     3.8                           
Vardas454      Pavarde454     3.2                           
Vardas458      Pavarde458     2.6                           
Vardas466      Pavarde466     2.6                           
Vardas467      Pavarde467     3.2                           
Vardas468      Pavarde468     3.8                           
Vardas471      Pavarde471     3.8                           
Vardas478      Pavarde478     2.6                           
Vardas482      Pavarde482     2.6                           
Vardas486      Pavarde486     2.6                           
Vardas491      Pavarde491     4.4                           
Vardas495      Pavarde495     3.8                           
Vardas496      Pavarde496     2.6                           
Vardas497      Pavarde497     2.6                           
Vardas501      Pavarde501     2.6                           
Vardas506      Pavarde506     3.8                           
Vardas507      Pavarde507     3.2                           
Vardas510      Pavarde510     3.2                           
Vardas513      Pavarde513     2.6                           
Vardas514      Pavarde514     4.4                           
Vardas516      Pavarde516     2.6                           
Vardas517      Pavarde517     2.6                           
Vardas518      Pavarde518     3.8                           
Vardas519      Pavarde519     3.8                           
Vardas520      Pavarde520     2.6                           
Vardas522      Pavarde522     2.6                           
Vardas526      Pavarde526     4.4                           
Vardas527      Pavarde527     3.8                           
Vardas528      Pavarde528     3.8                           
Vardas533      Pavarde533     2.6                           
Vardas535      Pavarde535     3.8                           
Vardas536      Pavarde536     3.8                           
Vardas537      Pavarde537     3.2                           
Vardas540      Pavarde540     2.6                           
Vardas541      Pavarde541     3.8                           
Vardas551      Pavarde551     4.4                           
Vardas553      Pavarde553     2.6                           
Vardas554      Pavarde554     3.8                           
Vardas555      Pavarde555     3.8                           
Vardas556      Pavarde556     3.8                           
Vardas557      Pavarde557     3.8                           
Vardas560      Pavarde560     3.2                           
Vardas561      Pavarde561     2.6                           
Vardas562      Pavarde562     4.4                           
Vardas565      Pavarde565     4.4                           
Vardas566      Pavarde566     4.4                           
Vardas568      Pavarde568     3.2                           
Vardas571      Pavarde571     3.2                           
Vardas572      Pavarde572     2.6                           
Vardas573      Pavarde573     4.4                           
Vardas575      Pavarde575     4.4                           
Vardas581      Pavarde581     3.2                           
Vardas584      Pavarde584     3.2                           
Vardas585      Pavarde585     2.6                           
Vardas586      Pavarde586     2.6                           
Vardas587      Pavarde587     4.4                           
Vardas588      Pavarde588     3.2                           
Vardas591      Pavarde591     3.8                           
Vardas592      Pavarde592     3.2                           
Vardas594      Pavarde594     3.2                           
Vardas597      Pavarde597     4.4                           
Vardas602      Pavarde602     3.8                           
Vardas607      Pavarde607     3.8                           
Vardas608      Pavarde608     4.4                           
Vardas609      Pavarde609     2.6                           
Vardas610      Pavarde610     4.4                           
Vardas618      Pavarde618     3.8                           
Vardas621      Pavarde621     3.2                           
Vardas624      Pavarde624     3.2                           
Vardas625      Pavarde625     2.6                           
Vardas627      Pavarde627     2.6                           
Vardas629      Pavarde629     2.6                           
Vardas639      Pavarde639     3.8                           
Vardas640      Pavarde640     3.2                           
Vardas644      Pavarde644     3.2                           
Vardas649      Pavarde649     3.2                           
Vardas652      Pavarde652     2.6                           
Vardas653      Pavarde653     4.4                           
Vardas654      Pavarde654     2.6                           
Vardas655      Pavarde655     2.6                           
Vardas659      Pavarde659     3.8                           
Vardas662      Pavarde662     3.2                           
Vardas663      Pavarde663     4.4                           
Vardas665      Pavarde665     3.8                           
Vardas666      Pavarde666     4.4                           
Vardas669      Pavarde669     3.2                           
Vardas671      Pavarde671     3.8                           
Vardas672      Pavarde672     3.2                           
Vardas673      Pavarde673     4.4                           
Vardas676      Pavarde676     2.6                           
Vardas677      Pavarde677     2.6                           
Vardas678      Pavarde678     3.8                           
Vardas681      Pavarde681     2.6                           
Vardas683      Pavarde683     3.8                           
Vardas691      Pavarde691     4.4                           
Vardas692      Pavarde692     3.2                           
Vardas694      Pavarde694     2.6                           
Vardas696      Pavarde696     3.2                           
Vardas699      Pavarde699     2.6                           
Vardas700      Pavarde700     3.8                           
Vardas702      Pavarde702     3.2                           
Vardas703      Pavarde703     4.4                           
Vardas705      Pavarde705     2.6                           
