Vardas	       Pavarde	      Galutinis pazymys pagal mediana
Vardas2        Pavarde2       8.4                           
Vardas3        Pavarde3       8.4                           
Vardas5        Pavarde5       6                             
Vardas8        Pavarde8       7.4                           
Vardas11       Pavarde11      5.6                           
Vardas13       Pavarde13      7.4                           
Vardas14       Pavarde14      6.8                           
Vardas15       Pavarde15      5.6                           
Vardas18       Pavarde18      7.4                           
Vardas19       Pavarde19      5                             
Vardas20       Pavarde20      5.6                           
Vardas21       Pavarde21      7.4                           
Vardas22       Pavarde22      7.4                           
Vardas23       Pavarde23      6.8                           
Vardas26       Pavarde26      6.8                           
Vardas28       Pavarde28      5                             
Vardas29       Pavarde29      6.2                           
Vardas30       Pavarde30      8.2                           
Vardas32       Pavarde32      7.2                           
Vardas33       Pavarde33      7.2                           
Vardas34       Pavarde34      7.2                           
Vardas35       Pavarde35      7.2                           
Vardas37       Pavarde37      7.8                           
Vardas38       Pavarde38      5.4                           
Vardas39       Pavarde39      5.4                           
Vardas40       Pavarde40      8.4                           
Vardas41       Pavarde41      6.6                           
Vardas42       Pavarde42      7.8                           
Vardas43       Pavarde43      8.4                           
Vardas45       Pavarde45      7.4                           
Vardas46       Pavarde46      7                             
Vardas47       Pavarde47      8.4                           
Vardas48       Pavarde48      7.6                           
Vardas50       Pavarde50      6                             
Vardas52       Pavarde52      5.4                           
Vardas54       Pavarde54      7.8                           
Vardas56       Pavarde56      6.6                           
Vardas58       Pavarde58      8.4                           
Vardas59       Pavarde59      7.8                           
Vardas62       Pavarde62      6                             
Vardas63       Pavarde63      6                             
Vardas64       Pavarde64      6.6                           
Vardas65       Pavarde65      6                             
Vardas67       Pavarde67      7.4                           
Vardas68       Pavarde68      6.2                           
Vardas69       Pavarde69      6.2                           
Vardas70       Pavarde70      8                             
Vardas72       Pavarde72      5.6                           
Vardas75       Pavarde75      5.6                           
Vardas77       Pavarde77      6.8                           
Vardas79       Pavarde79      8                             
Vardas81       Pavarde81      6.8                           
Vardas82       Pavarde82      5                             
Vardas83       Pavarde83      6.2                           
Vardas84       Pavarde84      5                             
Vardas86       Pavarde86      7.4                           
