Vardas	       Pavarde	      Galutinis pazymys pagal mediana
Vardas1        Pavarde1       7                                    
Vardas2        Pavarde2       8                                    
Vardas3        Pavarde3       6.8                                  
Vardas4        Pavarde4       5.2                                  
Vardas5        Pavarde5       4                                    
Vardas6        Pavarde6       5.8                                  
Vardas7        Pavarde7       5                                    
Vardas8        Pavarde8       6.4                                  
Vardas9        Pavarde9       3                                    
Vardas10       Pavarde10      7.6                                  
Vardas11       Pavarde11      5.2                                  
Vardas12       Pavarde12      3.6                                  
Vardas13       Pavarde13      7.2                                  
Vardas14       Pavarde14      6.6                                  
Vardas15       Pavarde15      7.8                                  
Vardas16       Pavarde16      3                                    
Vardas17       Pavarde17      6.6                                  
Vardas18       Pavarde18      3                                    
Vardas19       Pavarde19      4.8                                  
Vardas20       Pavarde20      3.6                                  
Vardas21       Pavarde21      6.6                                  
Vardas22       Pavarde22      3.8                                  
Vardas23       Pavarde23      8.6                                  
Vardas24       Pavarde24      7                                    
Vardas25       Pavarde25      7                                    
Vardas26       Pavarde26      3.4                                  
Vardas27       Pavarde27      4.6                                  
Vardas28       Pavarde28      7                                    
Vardas29       Pavarde29      5.2                                  
Vardas30       Pavarde30      5.8                                  
Vardas31       Pavarde31      4.6                                  
Vardas32       Pavarde32      8.8                                  
Vardas33       Pavarde33      5.8                                  
Vardas34       Pavarde34      5.8                                  
Vardas35       Pavarde35      3.4                                  
Vardas36       Pavarde36      8.2                                  
Vardas37       Pavarde37      8.2                                  
Vardas38       Pavarde38      6.4                                  
Vardas39       Pavarde39      3.4                                  
Vardas40       Pavarde40      6.4                                  
Vardas41       Pavarde41      7                                    
Vardas42       Pavarde42      4.6                                  
Vardas43       Pavarde43      7                                    
Vardas44       Pavarde44      7                                    
Vardas45       Pavarde45      8.2                                  
Vardas46       Pavarde46      4                                    
Vardas47       Pavarde47      5.8                                  
Vardas48       Pavarde48      4.6                                  
Vardas49       Pavarde49      3.4                                  
Vardas50       Pavarde50      8.2                                  
Vardas51       Pavarde51      5.2                                  
Vardas52       Pavarde52      5.8                                  
Vardas53       Pavarde53      4.6                                  
Vardas54       Pavarde54      3.4                                  
Vardas55       Pavarde55      7.6                                  
Vardas56       Pavarde56      4                                    
Vardas57       Pavarde57      4                                    
Vardas58       Pavarde58      7.6                                  
Vardas59       Pavarde59      4.6                                  
Vardas60       Pavarde60      8.8                                  
Vardas61       Pavarde61      4.6                                  
Vardas62       Pavarde62      7.6                                  
Vardas63       Pavarde63      6.4                                  
Vardas64       Pavarde64      3.4                                  
Vardas65       Pavarde65      4                                    
Vardas66       Pavarde66      8.2                                  
Vardas67       Pavarde67      6.4                                  
Vardas68       Pavarde68      8.2                                  
Vardas69       Pavarde69      7                                    
Vardas70       Pavarde70      7                                    
Vardas71       Pavarde71      5.8                                  
Vardas72       Pavarde72      5.2                                  
Vardas73       Pavarde73      6.4                                  
Vardas74       Pavarde74      4                                    
Vardas75       Pavarde75      4.6                                  
Vardas76       Pavarde76      5.8                                  
Vardas77       Pavarde77      5.2                                  
Vardas78       Pavarde78      5.8                                  
Vardas79       Pavarde79      8.2                                  
Vardas80       Pavarde80      8.8                                  
Vardas81       Pavarde81      5.2                                  
Vardas82       Pavarde82      5.8                                  
Vardas83       Pavarde83      5.2                                  
Vardas84       Pavarde84      4                                    
Vardas85       Pavarde85      7.6                                  
Vardas86       Pavarde86      4.6                                  
Vardas87       Pavarde87      8.8                                  
Vardas88       Pavarde88      6.8                                  
Vardas89       Pavarde89      3.6                                  
Vardas90       Pavarde90      3                                    
Vardas91       Pavarde91      3.6                                  
Vardas92       Pavarde92      4.2                                  
Vardas93       Pavarde93      3.6                                  
Vardas94       Pavarde94      3.6                                  
Vardas95       Pavarde95      4.2                                  
Vardas96       Pavarde96      8.4                                  
Vardas97       Pavarde97      6.6                                  
Vardas98       Pavarde98      6.6                                  
Vardas99       Pavarde99      4.8                                  
Vardas100      Pavarde100     5.6                                  
Vardas101      Pavarde101     4.2                                  
Vardas102      Pavarde102     7.2                                  
Vardas103      Pavarde103     3                                    
Vardas104      Pavarde104     7.2                                  
Vardas105      Pavarde105     4.2                                  
Vardas106      Pavarde106     6                                    
Vardas107      Pavarde107     7.8                                  
Vardas108      Pavarde108     7.2                                  
Vardas109      Pavarde109     3.6                                  
Vardas110      Pavarde110     3.6                                  
Vardas111      Pavarde111     3                                    
Vardas112      Pavarde112     5.4                                  
Vardas113      Pavarde113     6                                    
Vardas114      Pavarde114     4.2                                  
Vardas115      Pavarde115     4.2                                  
Vardas116      Pavarde116     6.6                                  
Vardas117      Pavarde117     7.8                                  
Vardas118      Pavarde118     3.6                                  
Vardas119      Pavarde119     8.4                                  
Vardas120      Pavarde120     7.8                                  
Vardas121      Pavarde121     3.6                                  
Vardas122      Pavarde122     6                                    
Vardas123      Pavarde123     6                                    
Vardas124      Pavarde124     3                                    
Vardas125      Pavarde125     5.4                                  
Vardas126      Pavarde126     6                                    
Vardas127      Pavarde127     3.6                                  
Vardas128      Pavarde128     6.6                                  
Vardas129      Pavarde129     7.2                                  
Vardas130      Pavarde130     7.8                                  
Vardas131      Pavarde131     5.4                                  
Vardas132      Pavarde132     5.4                                  
Vardas133      Pavarde133     4.2                                  
Vardas134      Pavarde134     4.8                                  
Vardas135      Pavarde135     5.4                                  
Vardas136      Pavarde136     6.6                                  
Vardas137      Pavarde137     4.8                                  
Vardas138      Pavarde138     8.4                                  
Vardas139      Pavarde139     3                                    
Vardas140      Pavarde140     6.6                                  
Vardas141      Pavarde141     3                                    
Vardas142      Pavarde142     3                                    
Vardas143      Pavarde143     7.2                                  
Vardas144      Pavarde144     7.2                                  
Vardas145      Pavarde145     7.2                                  
Vardas146      Pavarde146     6.6                                  
Vardas147      Pavarde147     6                                    
Vardas148      Pavarde148     8.4                                  
Vardas149      Pavarde149     6.6                                  
Vardas150      Pavarde150     6                                    
Vardas151      Pavarde151     3.6                                  
Vardas152      Pavarde152     3.6                                  
Vardas153      Pavarde153     4.2                                  
Vardas154      Pavarde154     6.6                                  
Vardas155      Pavarde155     6.6                                  
Vardas156      Pavarde156     3.6                                  
Vardas157      Pavarde157     3                                    
Vardas158      Pavarde158     8.4                                  
Vardas159      Pavarde159     3.6                                  
Vardas160      Pavarde160     4.8                                  
Vardas161      Pavarde161     4.8                                  
Vardas162      Pavarde162     4.8                                  
Vardas163      Pavarde163     3.6                                  
Vardas164      Pavarde164     3                                    
Vardas165      Pavarde165     8.4                                  
Vardas166      Pavarde166     3                                    
Vardas167      Pavarde167     6.6                                  
Vardas168      Pavarde168     8.4                                  
Vardas169      Pavarde169     8.4                                  
Vardas170      Pavarde170     7.2                                  
Vardas171      Pavarde171     3                                    
Vardas172      Pavarde172     4.2                                  
Vardas173      Pavarde173     6                                    
Vardas174      Pavarde174     6.6                                  
Vardas175      Pavarde175     6                                    
Vardas176      Pavarde176     8.4                                  
Vardas177      Pavarde177     7.2                                  
Vardas178      Pavarde178     4.8                                  
Vardas179      Pavarde179     5.4                                  
Vardas180      Pavarde180     7.8                                  
Vardas181      Pavarde181     7.8                                  
Vardas182      Pavarde182     4.8                                  
