Vardas	       Pavarde	      Galutinis pazymys pagal mediana
Vardas1        Pavarde1       4.8                           
Vardas4        Pavarde4       3.6                           
Vardas6        Pavarde6       4.8                           
Vardas7        Pavarde7       4.8                           
Vardas9        Pavarde9       2.6                           
Vardas10       Pavarde10      3.2                           
Vardas12       Pavarde12      3.8                           
Vardas16       Pavarde16      2.6                           
Vardas17       Pavarde17      2.6                           
Vardas24       Pavarde24      3.2                           
Vardas25       Pavarde25      4.4                           
Vardas27       Pavarde27      3.2                           
Vardas31       Pavarde31      3                             
Vardas36       Pavarde36      3.6                           
Vardas44       Pavarde44      4.8                           
Vardas49       Pavarde49      3                             
Vardas51       Pavarde51      4.8                           
Vardas53       Pavarde53      4.8                           
Vardas55       Pavarde55      4.2                           
Vardas57       Pavarde57      3                             
Vardas60       Pavarde60      3                             
Vardas61       Pavarde61      4.8                           
Vardas66       Pavarde66      4.4                           
Vardas71       Pavarde71      3.2                           
Vardas73       Pavarde73      4.8                           
Vardas74       Pavarde74      4                             
Vardas76       Pavarde76      4                             
Vardas78       Pavarde78      3.8                           
Vardas80       Pavarde80      3.8                           
Vardas85       Pavarde85      3.8                           
Vardas92       Pavarde92      3.2                           
Vardas93       Pavarde93      2.6                           
Vardas94       Pavarde94      4.4                           
Vardas97       Pavarde97      2.6                           
Vardas99       Pavarde99      4.4                           
Vardas100      Pavarde100     4.4                           
Vardas103      Pavarde103     3.6                           
Vardas104      Pavarde104     4.6                           
Vardas105      Pavarde105     3.6                           
Vardas106      Pavarde106     2.8                           
Vardas108      Pavarde108     2.6                           
Vardas109      Pavarde109     2.6                           
Vardas110      Pavarde110     4.8                           
Vardas115      Pavarde115     4.4                           
Vardas117      Pavarde117     3.2                           
Vardas121      Pavarde121     4.4                           
Vardas124      Pavarde124     4.4                           
Vardas125      Pavarde125     3.2                           
Vardas128      Pavarde128     3.8                           
Vardas130      Pavarde130     2.6                           
Vardas143      Pavarde143     4.4                           
Vardas146      Pavarde146     3.6                           
Vardas147      Pavarde147     3                             
Vardas149      Pavarde149     3.6                           
Vardas152      Pavarde152     3.6                           
Vardas155      Pavarde155     4.2                           
Vardas157      Pavarde157     4.8                           
Vardas163      Pavarde163     3.6                           
Vardas168      Pavarde168     3.6                           
Vardas170      Pavarde170     4.2                           
Vardas172      Pavarde172     4.2                           
Vardas173      Pavarde173     4.8                           
Vardas174      Pavarde174     4.2                           
Vardas177      Pavarde177     4.8                           
Vardas180      Pavarde180     4.8                           
Vardas181      Pavarde181     4.2                           
Vardas182      Pavarde182     3.6                           
Vardas187      Pavarde187     3.2                           
Vardas192      Pavarde192     3.8                           
Vardas195      Pavarde195     4.8                           
Vardas197      Pavarde197     4.2                           
Vardas202      Pavarde202     3.4                           
Vardas203      Pavarde203     2.6                           
Vardas206      Pavarde206     2.6                           
Vardas208      Pavarde208     3.2                           
Vardas210      Pavarde210     3.2                           
Vardas211      Pavarde211     3.6                           
Vardas213      Pavarde213     3                             
Vardas214      Pavarde214     3.4                           
Vardas219      Pavarde219     4.2                           
Vardas222      Pavarde222     3.6                           
Vardas225      Pavarde225     4.8                           
Vardas227      Pavarde227     4.8                           
Vardas229      Pavarde229     2.6                           
Vardas230      Pavarde230     3.8                           
Vardas232      Pavarde232     2.6                           
Vardas235      Pavarde235     4.4                           
Vardas236      Pavarde236     3.2                           
Vardas241      Pavarde241     3.8                           
Vardas244      Pavarde244     3.2                           
Vardas248      Pavarde248     2.6                           
Vardas249      Pavarde249     3.8                           
Vardas250      Pavarde250     3.2                           
Vardas254      Pavarde254     3.2                           
Vardas256      Pavarde256     4.4                           
Vardas260      Pavarde260     3.8                           
Vardas261      Pavarde261     4.4                           
Vardas264      Pavarde264     3.2                           
Vardas268      Pavarde268     3.8                           
Vardas273      Pavarde273     2.6                           
Vardas274      Pavarde274     3.2                           
Vardas284      Pavarde284     3.2                           
Vardas285      Pavarde285     3.2                           
Vardas286      Pavarde286     3.8                           
Vardas288      Pavarde288     2.6                           
Vardas292      Pavarde292     3.8                           
Vardas298      Pavarde298     3.8                           
Vardas301      Pavarde301     2.6                           
Vardas313      Pavarde313     2.6                           
Vardas316      Pavarde316     4.4                           
Vardas319      Pavarde319     4.4                           
Vardas324      Pavarde324     3.2                           
Vardas327      Pavarde327     4.4                           
Vardas328      Pavarde328     4.2                           
Vardas330      Pavarde330     3.2                           
Vardas334      Pavarde334     3.8                           
Vardas335      Pavarde335     3.8                           
Vardas340      Pavarde340     2.8                           
Vardas343      Pavarde343     3                             
Vardas348      Pavarde348     3.6                           
Vardas350      Pavarde350     3                             
Vardas352      Pavarde352     3                             
Vardas353      Pavarde353     4.8                           
Vardas356      Pavarde356     4.2                           
Vardas359      Pavarde359     4.2                           
Vardas361      Pavarde361     3.6                           
Vardas362      Pavarde362     4.8                           
Vardas363      Pavarde363     3.6                           
Vardas368      Pavarde368     3                             
Vardas369      Pavarde369     4.2                           
Vardas371      Pavarde371     4.2                           
Vardas372      Pavarde372     4.8                           
Vardas375      Pavarde375     4.8                           
Vardas377      Pavarde377     3                             
Vardas379      Pavarde379     3                             
Vardas380      Pavarde380     3                             
Vardas382      Pavarde382     3                             
Vardas389      Pavarde389     4.2                           
Vardas390      Pavarde390     4.2                           
Vardas391      Pavarde391     3.6                           
Vardas392      Pavarde392     4.2                           
Vardas393      Pavarde393     4.2                           
Vardas395      Pavarde395     3                             
Vardas396      Pavarde396     3.6                           
Vardas405      Pavarde405     3.6                           
Vardas409      Pavarde409     3.6                           
Vardas410      Pavarde410     4.8                           
Vardas412      Pavarde412     3.6                           
Vardas415      Pavarde415     4.2                           
Vardas419      Pavarde419     4.2                           
Vardas422      Pavarde422     3                             
Vardas423      Pavarde423     4.8                           
Vardas424      Pavarde424     4.2                           
Vardas425      Pavarde425     3.6                           
Vardas426      Pavarde426     3                             
Vardas427      Pavarde427     4.2                           
Vardas432      Pavarde432     3                             
Vardas435      Pavarde435     4.8                           
Vardas436      Pavarde436     3                             
Vardas437      Pavarde437     3.6                           
Vardas438      Pavarde438     4.2                           
Vardas439      Pavarde439     4.2                           
Vardas447      Pavarde447     4.2                           
Vardas450      Pavarde450     3.6                           
Vardas463      Pavarde463     4.8                           
Vardas464      Pavarde464     3.6                           
Vardas467      Pavarde467     3.6                           
Vardas470      Pavarde470     3.6                           
Vardas474      Pavarde474     4.2                           
Vardas475      Pavarde475     3                             
Vardas476      Pavarde476     3                             
Vardas478      Pavarde478     3                             
Vardas479      Pavarde479     4.8                           
Vardas482      Pavarde482     3                             
Vardas487      Pavarde487     3                             
Vardas488      Pavarde488     4.2                           
Vardas490      Pavarde490     3.6                           
Vardas493      Pavarde493     3.6                           
Vardas494      Pavarde494     4.2                           
Vardas495      Pavarde495     4.2                           
Vardas496      Pavarde496     4.2                           
Vardas498      Pavarde498     3                             
Vardas505      Pavarde505     3.6                           
Vardas506      Pavarde506     4.2                           
Vardas511      Pavarde511     3                             
Vardas513      Pavarde513     3                             
Vardas515      Pavarde515     4.8                           
Vardas517      Pavarde517     3                             
Vardas519      Pavarde519     4.8                           
Vardas522      Pavarde522     4.2                           
Vardas526      Pavarde526     3                             
Vardas528      Pavarde528     3                             
Vardas533      Pavarde533     4.8                           
Vardas534      Pavarde534     4.8                           
Vardas538      Pavarde538     4.2                           
Vardas540      Pavarde540     3                             
Vardas545      Pavarde545     3                             
Vardas546      Pavarde546     3.6                           
Vardas549      Pavarde549     3.6                           
Vardas551      Pavarde551     3.6                           
Vardas554      Pavarde554     3.6                           
Vardas557      Pavarde557     3                             
Vardas558      Pavarde558     3.6                           
Vardas559      Pavarde559     4.8                           
